Bucket,8,,,
,Math 111,,,
,Math 112,,,
,Math 213,,,
,Math 222,,,
,Math 224,,,
,COMP 118,,,
,STAT 106,,,
,Math 480,,,
Bucket,1,,,
,Bucket,1,,
,,Bucket,3,
,,,Bucket,1
,,,,Math 335
,,,,Math 435
,,,,Math 327
,,,,Math 328
,,,,Math 322
,,,Bucket,1
,,,,Math 341
,,,,Math 441
,,,,Math 360
,,,,Math 230
,,,,Math 352
,,,,Math 336
,,,,Math 227
,,,Bucket,1
,,,,COMP 218
,,,,Math 233
,,,,Math 258
,,,,Math 325
,,,,Math 330
,,,,Math 330
,,,,Math 347 
,,,,STAT 206
,,,,STAT 436
,,,,STAT 416
,,,,STAT 216
,,,,STAT 226
,,,,STAT 306
,,Bucket,3,
,,,Bucket,1
,,,,Math 341
,,,,Math 441
,,,,Math 360
,,,,Math 230
,,,,Math 352
,,,,Math 336
,,,Bucket,1
,,,,Math 335
,,,,Math 435
,,,,Math 327
,,,,Math 328
,,,,Math 322
,,,,Math 336
,,,,Math 227
,,,Bucket,1
,,,,COMP 218
,,,,Math 233
,,,,Math 258
,,,,Math 325
,,,,Math 330
,,,,Math 330
,,,,Math 347 
,,,,STAT 206
,,,,STAT 436
,,,,STAT 416
,,,,STAT 216
,,,,STAT 226
,,,,STAT 306
,,Bucket,3,
,,,Bucket,1
,,,,Math 336
,,,,Math 328
,,,,Math 327
,,,,Math 227
,,,Bucket,1
,,,,Math 335
,,,,Math 435
,,,,Math 327
,,,,Math 328
,,,,Math 322
,,,,Math 341
,,,,Math 441
,,,,Math 360
,,,,Math 230
,,,,Math 352
,,,Bucket,2
,,,,COMP 218
,,,,Math 233
,,,,Math 258
,,,,Math 325
,,,,Math 330
,,,,Math 330
,,,,Math 347 
,,,,STAT 206
,,,,STAT 436
,,,,STAT 416
,,,,STAT 216
,,,,STAT 226
,,,,STAT 306
,Bucket,1,,
,,Bucket,3,
,,,Bucket,1
,,,,COMP 218
,,,,Math 233
,,,,Math 258
,,,,Math 325
,,,,Math 330
,,,,Math 330
,,,,Math 347 
,,,Bucket,1
,,,,STAT 206
,,,,STAT 436
,,,,STAT 416
,,,,STAT 216
,,,,STAT 226
,,,,STAT 306
,,,Bucket,1
,,,,Math 335
,,,,Math 435
,,,,Math 327
,,,,Math 328
,,,,Math 322
,,,,Math 341
,,,,Math 441
,,,,Math 360
,,,,Math 230
,,,,Math 352
,,,,Math 336
,,,,Math 227
,,Bucket,3,
,,,Bucket,1
,,,,STAT 206
,,,,STAT 436
,,,,STAT 416
,,,,STAT 216
,,,,STAT 226
,,,,STAT 306
,,,Bucket,1
,,,,COMP 218
,,,,Math 233
,,,,Math 258
,,,,Math 325
,,,,Math 330
,,,,Math 330
,,,,Math 347
,,,Bucket,1
,,,,Math 335
,,,,Math 435
,,,,Math 327
,,,,Math 328
,,,,Math 322
,,,,Math 341
,,,,Math 441
,,,,Math 360
,,,,Math 230
,,,,Math 352
,,,,Math 336
,,,,Math 227