Course,Prereq1,Prereq2
MATH 119,,
MATH 120,,
MATH 126,MATH 119,
MATH 220,MATH 199,MATH 120
MATH 226,MATH 126,MATH 220
MATH 230,MATH 126,MATH 220
MATH 234,MATH 126,
MATH 236,MATH 126,
MATH 239,MATH 220,
MATH 242,MATH 220,
MATH 244,MATH 126,MATH 220
MATH 252,MATH 220,
MATH 257,MATH 252,
MATH 261,MATH 242,
MATH 262,MATH 126,
MATH 266,MATH 126,MATH 220
MATH 320,MATH 244,
MATH 330,MATH 226,
MATH 332,MATH 244,
MATH 340,MATH 226,
MATH 344,MATH 244,
MATH 348,MATH 244,
MATH 352,MATH 252,
MATH 356,MATH 244,
MATH 364,MATH 252,